,date,time,temp[°C],feels[°C],wind[km/h],wind-dir,gust[km/h],rain[mm],humidity[%],cloud[%],pressure[mb],visibility
0,2018-09-01,00:00,11,11,9,S,19,0.0,79,13,1020,Excellent
1,2018-09-01,03:00,13,12,11,SSW,19,0.0,76,96,1020,Excellent
2,2018-09-01,06:00,14,13,11,SSW,19,0.0,84,100,1020,Excellent
3,2018-09-01,09:00,14,13,14,SSW,23,0.1,88,78,1021,Excellent
4,2018-09-01,12:00,16,16,15,SSW,22,0.0,87,87,1021,Excellent
5,2018-09-01,15:00,17,17,14,SW,21,0.0,83,97,1021,Excellent
6,2018-09-01,18:00,16,16,12,SW,19,0.0,88,98,1022,Excellent
7,2018-09-01,21:00,14,14,11,SSW,19,0.0,94,52,1022,Excellent
8,2018-09-02,00:00,13,13,10,SSW,19,0.0,95,31,1022,Poor
9,2018-09-02,03:00,13,13,8,SSW,15,0.0,96,52,1020,Poor
10,2018-09-02,06:00,14,15,5,SE,9,0.0,95,67,1020,Poor
11,2018-09-02,09:00,19,19,18,SSW,28,0.0,82,80,1020,Excellent
12,2018-09-02,12:00,20,20,21,SSW,30,0.0,78,93,1019,Excellent
13,2018-09-02,15:00,19,19,19,SSW,30,0.1,82,90,1019,Excellent
14,2018-09-02,18:00,18,18,12,SW,20,0.0,84,70,1019,Excellent
15,2018-09-02,21:00,16,16,10,SSW,17,0.3,91,82,1020,Poor
16,2018-09-03,00:00,15,14,12,WSW,20,0.0,95,62,1021,Poor
17,2018-09-03,03:00,12,11,12,WSW,20,0.1,95,59,1021,Poor
18,2018-09-03,06:00,11,12,2,W,3,0.0,93,86,1023,Excellent
19,2018-09-03,09:00,12,11,10,NE,15,0.2,90,96,1024,Poor
20,2018-09-03,12:00,11,11,9,ENE,14,0.0,85,95,1024,Excellent
21,2018-09-03,15:00,13,13,10,ENE,11,0.0,74,69,1024,Excellent
22,2018-09-03,18:00,12,11,9,E,12,0.0,81,62,1024,Excellent
23,2018-09-03,21:00,9,9,5,NE,10,0.0,88,37,1025,Excellent
24,2018-09-04,00:00,8,10,5,NNE,7,0.0,90,0,1025,Excellent
25,2018-09-04,03:00,7,9,6,NNW,9,0.0,91,3,1025,Excellent
26,2018-09-04,06:00,7,12,4,NW,5,0.0,90,2,1025,Excellent
27,2018-09-04,09:00,12,15,7,NNW,8,0.0,69,1,1025,Excellent
28,2018-09-04,12:00,15,18,7,NNE,8,0.0,56,1,1024,Excellent
29,2018-09-04,15:00,16,18,5,NNW,5,0.0,58,4,1023,Excellent
30,2018-09-04,18:00,14,14,1,WSW,1,0.0,70,34,1024,Excellent
31,2018-09-04,21:00,11,11,5,SSW,11,0.0,77,9,1024,Excellent
32,2018-09-05,00:00,9,10,6,WSW,11,0.0,86,2,1024,Excellent
33,2018-09-05,03:00,8,9,6,WSW,11,0.0,91,3,1024,Excellent
34,2018-09-05,06:00,8,8,7,WSW,12,0.0,92,18,1024,Excellent
35,2018-09-05,09:00,13,14,8,WSW,9,0.0,74,4,1024,Excellent
36,2018-09-05,12:00,17,17,8,WSW,9,0.0,61,15,1022,Excellent
37,2018-09-05,15:00,18,18,11,SW,13,0.0,61,32,1021,Excellent
38,2018-09-05,18:00,14,13,14,WSW,23,0.0,81,82,1019,Excellent
39,2018-09-05,21:00,13,12,15,WSW,25,0.4,92,62,1019,Good
40,2018-09-06,00:00,10,8,15,WSW,27,0.0,93,16,1018,Excellent
41,2018-09-06,03:00,8,5,13,W,24,0.0,92,6,1018,Excellent
42,2018-09-06,06:00,7,7,8,W,13,0.0,92,10,1017,Excellent
43,2018-09-06,09:00,11,10,11,W,13,0.0,73,35,1016,Excellent
44,2018-09-06,12:00,13,13,10,NW,12,0.0,61,31,1015,Excellent
45,2018-09-06,15:00,13,12,11,NW,16,1.6,67,44,1015,Excellent
46,2018-09-06,18:00,10,10,7,NW,12,0.0,77,79,1014,Excellent
47,2018-09-06,21:00,8,6,10,WNW,19,0.0,85,26,1014,Excellent
48,2018-09-07,00:00,7,4,13,W,26,0.0,89,26,1012,Excellent
49,2018-09-07,03:00,7,4,16,W,29,0.0,89,78,1012,Excellent
50,2018-09-07,06:00,9,6,14,WNW,23,0.0,92,100,1011,Excellent
51,2018-09-07,09:00,12,10,13,NW,19,0.0,83,83,1012,Excellent
52,2018-09-07,12:00,15,15,14,WNW,18,0.0,67,79,1012,Excellent
53,2018-09-07,15:00,16,16,18,WNW,23,0.2,64,61,1012,Excellent
54,2018-09-07,18:00,13,12,17,W,28,0.0,76,50,1012,Excellent
55,2018-09-07,21:00,11,8,19,WSW,33,0.0,89,8,1013,Excellent
56,2018-09-08,00:00,9,6,19,WSW,33,0.0,93,21,1013,Excellent
57,2018-09-08,03:00,8,5,18,WSW,32,0.0,92,21,1012,Excellent
58,2018-09-08,06:00,8,6,10,WSW,18,0.0,94,37,1011,Excellent
59,2018-09-08,09:00,13,12,10,WSW,12,0.0,81,60,1011,Excellent
60,2018-09-08,12:00,15,15,11,WSW,14,0.0,79,70,1010,Excellent
61,2018-09-08,15:00,16,16,19,WSW,23,0.0,76,57,1011,Excellent
62,2018-09-08,18:00,14,12,16,WSW,28,0.0,81,3,1011,Excellent
63,2018-09-08,21:00,11,10,13,SW,26,0.0,89,28,1011,Excellent
64,2018-09-09,00:00,12,12,8,S,14,0.0,90,95,1009,Excellent
65,2018-09-09,03:00,13,13,11,S,19,0.2,93,89,1007,Poor
66,2018-09-09,06:00,14,13,17,SSW,27,0.0,92,94,1006,Excellent
67,2018-09-09,09:00,15,13,27,WSW,38,0.2,84,82,1007,Excellent
68,2018-09-09,12:00,15,15,30,WSW,37,0.0,74,54,1008,Excellent
69,2018-09-09,15:00,15,15,34,WSW,44,0.2,61,25,1009,Excellent
70,2018-09-09,18:00,12,10,18,WSW,30,0.0,72,24,1010,Excellent
71,2018-09-09,21:00,11,8,25,SW,43,0.0,78,39,1011,Excellent
72,2018-09-10,00:00,11,8,33,SW,53,0.0,76,67,1010,Excellent
73,2018-09-10,03:00,12,9,36,WSW,53,0.0,76,94,1011,Excellent
74,2018-09-10,06:00,12,9,31,WSW,47,0.0,78,100,1011,Excellent
75,2018-09-10,09:00,12,10,30,WSW,43,0.0,76,100,1013,Excellent
76,2018-09-10,12:00,13,11,24,WSW,33,0.0,77,100,1013,Excellent
77,2018-09-10,15:00,13,11,24,SW,35,0.6,80,100,1012,Excellent
78,2018-09-10,18:00,12,10,20,SSW,32,0.0,89,100,1010,Excellent
79,2018-09-10,21:00,13,11,27,SSW,44,3.1,90,100,1008,Good
80,2018-09-11,00:00,13,11,30,WSW,49,0.0,89,76,1006,Excellent
81,2018-09-11,03:00,11,8,30,WSW,51,0.3,87,61,1007,Good
82,2018-09-11,06:00,10,7,34,WSW,58,0.0,84,22,1008,Excellent
83,2018-09-11,09:00,13,10,36,W,49,0.0,70,11,1010,Excellent
84,2018-09-11,12:00,15,12,33,WSW,41,0.0,61,46,1011,Excellent
85,2018-09-11,15:00,14,12,37,WSW,49,0.0,65,61,1012,Excellent
86,2018-09-11,18:00,12,9,24,WSW,40,0.0,73,73,1012,Excellent
87,2018-09-11,21:00,11,8,30,WSW,46,0.0,71,35,1014,Excellent
88,2018-09-12,00:00,11,8,28,WSW,45,0.0,73,33,1014,Excellent
89,2018-09-12,03:00,10,7,30,WSW,50,0.0,77,16,1015,Excellent
90,2018-09-12,06:00,9,6,23,WSW,40,0.0,82,8,1016,Excellent
91,2018-09-12,09:00,13,10,28,W,36,0.0,66,9,1018,Excellent
92,2018-09-12,12:00,14,12,28,WSW,34,0.0,61,26,1019,Excellent
93,2018-09-12,15:00,14,12,28,WSW,37,0.0,58,24,1019,Excellent
94,2018-09-12,18:00,11,9,18,WSW,30,0.0,70,19,1020,Excellent
95,2018-09-12,21:00,9,7,17,SW,32,0.0,79,48,1019,Excellent
96,2018-09-13,00:00,9,6,20,SW,35,0.0,79,72,1018,Excellent
97,2018-09-13,03:00,9,6,22,SW,37,0.0,80,56,1016,Excellent
98,2018-09-13,06:00,10,7,25,SW,40,0.0,80,95,1015,Excellent
99,2018-09-13,09:00,11,9,23,WSW,37,0.4,84,100,1016,Poor
100,2018-09-13,12:00,13,11,31,WSW,40,0.0,69,100,1016,Excellent
101,2018-09-13,15:00,13,11,30,WSW,41,0.1,65,100,1015,Excellent
102,2018-09-13,18:00,11,9,17,WSW,28,0.0,78,93,1015,Excellent
103,2018-09-13,21:00,10,8,17,SW,30,0.0,89,88,1015,Excellent
104,2018-09-14,00:00,11,9,18,SW,30,0.0,87,99,1013,Excellent
105,2018-09-14,03:00,11,8,22,SW,36,0.1,87,100,1012,Excellent
106,2018-09-14,06:00,11,9,22,SW,36,0.0,87,100,1011,Excellent
107,2018-09-14,09:00,12,9,26,WSW,39,0.5,86,90,1011,Excellent
108,2018-09-14,12:00,14,12,26,WSW,32,0.0,74,96,1012,Excellent
109,2018-09-14,15:00,12,9,21,W,32,1.1,86,88,1013,Excellent
110,2018-09-14,18:00,10,8,12,WSW,20,0.0,87,28,1013,Excellent
111,2018-09-14,21:00,8,5,15,WSW,29,0.0,91,9,1016,Excellent
112,2018-09-15,00:00,7,4,14,WSW,26,0.0,92,14,1016,Excellent
113,2018-09-15,03:00,7,4,14,WSW,27,0.0,92,19,1017,Excellent
114,2018-09-15,06:00,8,6,13,WSW,22,0.0,91,100,1018,Excellent
115,2018-09-15,09:00,10,8,16,WSW,23,0.0,80,60,1019,Excellent
116,2018-09-15,12:00,14,12,17,SW,21,0.0,65,43,1019,Excellent
117,2018-09-15,15:00,14,13,17,SW,22,0.0,71,68,1018,Excellent
118,2018-09-15,18:00,12,11,12,SSW,20,0.0,88,100,1017,Excellent
119,2018-09-15,21:00,12,10,16,S,27,1.0,92,61,1015,Excellent
120,2018-09-16,00:00,12,10,21,S,35,0.0,89,100,1010,Excellent
121,2018-09-16,03:00,14,12,37,SSW,62,0.8,87,81,1006,Excellent
122,2018-09-16,06:00,15,13,29,SW,47,0.0,87,98,1005,Excellent
123,2018-09-16,09:00,13,10,29,WSW,50,0.1,83,81,1007,Excellent
124,2018-09-16,12:00,14,11,32,WSW,47,0.0,71,92,1008,Excellent
125,2018-09-16,15:00,13,11,32,WSW,44,0.1,69,84,1010,Excellent
126,2018-09-16,18:00,12,10,17,SW,31,0.0,78,54,1012,Excellent
127,2018-09-16,21:00,10,8,15,SSW,29,0.0,88,46,1013,Excellent
128,2018-09-17,00:00,11,9,17,SW,30,0.0,88,40,1011,Excellent
129,2018-09-17,03:00,10,9,14,SSW,25,0.0,92,27,1011,Excellent
130,2018-09-17,06:00,11,9,12,SSW,21,0.0,91,76,1010,Excellent
131,2018-09-17,09:00,13,12,16,SSW,23,0.0,78,100,1009,Excellent
132,2018-09-17,12:00,16,16,16,S,22,0.0,72,64,1007,Excellent
133,2018-09-17,15:00,16,16,20,S,35,0.1,81,80,1003,Excellent
134,2018-09-17,18:00,17,17,21,SSW,38,0.0,82,88,1000,Excellent
135,2018-09-17,21:00,17,17,28,SSW,45,0.1,80,54,1000,Excellent
136,2018-09-18,00:00,15,15,19,SSW,35,0.0,84,38,998,Excellent
137,2018-09-18,03:00,14,13,14,SSE,27,0.0,92,17,996,Excellent
138,2018-09-18,06:00,13,14,6,ESE,9,0.0,89,66,993,Excellent
